api-1  | INFO:     Started server process [10]
api-1  | {"timestamp": "2026-04-03T20:13:36.798873+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "eb359519", "trace_id": "cd001dd03e6197c2ebb91095d940fded", "span_id": "b5dab33a1598d261", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/processes/18/dossier", "status_code": 200, "duration_ms": 227.11}}
api-1  | {"timestamp": "2026-04-03T20:14:06.875395+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "37c960ce", "trace_id": "98c355f5579656204ea9da57b8cf0156", "span_id": "da3edffbe33d22e0", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/processes/18/workflow-status"}}
api-1  | {"timestamp": "2026-04-03T20:14:06.935395+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "37c960ce", "trace_id": "98c355f5579656204ea9da57b8cf0156", "span_id": "da3edffbe33d22e0", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/processes/18/workflow-status", "status_code": 200, "duration_ms": 59.94}}
api-1  | {"timestamp": "2026-04-03T20:14:24.084407+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "a2fea0bd", "trace_id": "5c7a01040f1c4e182f30296ea440a0c9", "span_id": "ed74cac770209de6", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/tasks/"}}
api-1  | {"timestamp": "2026-04-03T20:14:24.127372+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "a2fea0bd", "trace_id": "5c7a01040f1c4e182f30296ea440a0c9", "span_id": "ed74cac770209de6", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/tasks/", "status_code": 200, "duration_ms": 42.91}}
api-1  | {"timestamp": "2026-04-03T20:14:27.646466+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "0af48843", "trace_id": "c8dd11b996ed41c1280062ce9015f365", "span_id": "820dbf3cc95897f1", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/8/status"}}
api-1  | {"timestamp": "2026-04-03T20:14:27.804551+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "0af48843", "trace_id": "c8dd11b996ed41c1280062ce9015f365", "span_id": "820dbf3cc95897f1", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/8/status", "status_code": 200, "duration_ms": 158.01}}
api-1  | {"timestamp": "2026-04-03T20:14:27.866530+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "45ad13bb", "trace_id": "64ed4f015692cb06f19f6a6ca20cd796", "span_id": "035014328fc95ff8", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/tasks/"}}
api-1  | {"timestamp": "2026-04-03T20:14:27.882297+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "45ad13bb", "trace_id": "64ed4f015692cb06f19f6a6ca20cd796", "span_id": "035014328fc95ff8", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/tasks/", "status_code": 200, "duration_ms": 15.71}}
api-1  | {"timestamp": "2026-04-03T20:14:30.833424+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "cc681ee4", "trace_id": "d8e98a9e678617e7731c197c0c9a49e1", "span_id": "567d202b5bb68c7c", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/9/status"}}
